generacja,najlepszy_fitness,sredni_fitness,liczba_gatunkow,czas_epoki_s,avg_fitness_informed,avg_fitness_uninformed,neat_avg_worth,bench_hold6040,bench_momentum,bench_random,pct_bond,pct_stock,pct_crypto,pct_cash,avg_trades
1726,1000.52,553.81,2,2.27,487.06,620.55,9751.30,347.99,173.10,431.76,5.64,58.73,30.50,5.13,211.55
1727,704.48,526.15,2,2.51,502.00,550.31,5851.57,387.96,273.30,415.93,6.25,61.39,26.63,5.72,205.21
1728,905.37,530.81,2,2.27,459.32,602.29,7762.55,326.05,341.22,423.20,5.83,61.33,27.62,5.22,180.37
1729,682.12,466.74,2,2.40,504.95,428.53,3938.36,375.04,173.52,436.10,5.78,59.59,28.27,6.37,168.53
1730,656.56,445.80,2,2.44,462.57,429.02,3328.88,395.65,436.96,499.59,6.55,60.20,26.12,7.13,137.71
1731,628.16,478.39,2,2.40,464.23,492.55,4186.44,355.79,172.99,453.96,6.39,59.44,25.44,8.72,180.57
1732,969.08,540.15,2,2.35,468.54,611.76,9732.72,376.68,256.74,487.78,6.55,62.03,24.96,6.47,207.15
1733,775.62,542.63,2,2.45,512.73,572.54,6725.78,368.52,1498.76,350.65,6.19,63.09,24.00,6.71,206.72
1734,797.53,540.06,2,2.37,460.62,619.49,7309.70,353.90,751.57,439.49,6.72,61.68,24.44,7.16,223.82
1735,652.19,473.01,2,2.31,501.71,444.30,4301.52,385.59,205.07,412.07,5.72,62.10,28.34,3.85,176.42
1736,674.08,463.40,2,2.37,449.43,477.37,3503.87,360.68,158.79,452.86,6.59,56.24,29.90,7.27,168.63
1737,959.90,538.09,2,2.29,656.03,420.15,9243.08,423.01,201.31,434.86,6.40,63.97,24.03,5.60,194.59
1738,712.20,520.22,2,2.41,472.30,568.14,6605.40,352.33,204.73,378.48,7.07,69.27,17.33,6.33,232.82
1739,799.07,544.69,2,2.64,478.75,610.63,9877.16,320.66,443.06,430.84,7.32,69.10,18.84,4.74,235.51
1740,667.44,426.03,2,2.26,464.33,387.73,3051.42,370.70,227.21,423.64,6.46,65.78,21.86,5.90,128.87
1741,997.57,565.00,2,2.24,667.04,462.96,11153.75,297.15,1555.99,426.87,6.77,71.20,17.37,4.67,235.17
1742,638.18,455.87,2,2.51,480.89,430.85,3915.67,351.15,215.20,449.33,6.64,64.24,24.76,4.36,165.71
1743,774.63,515.23,2,2.34,576.33,454.13,6418.96,382.45,447.94,455.33,6.66,63.56,22.34,7.44,200.92
1744,726.57,540.18,2,2.31,522.77,557.58,6082.93,274.12,1393.39,284.71,6.86,64.43,21.68,7.02,205.68
1745,605.69,448.41,2,2.30,450.53,446.29,3311.51,412.06,1774.66,495.32,6.61,64.60,23.53,5.26,157.51
1746,760.43,483.57,2,2.27,418.66,548.48,5041.62,396.07,1890.09,415.36,7.36,63.99,21.40,7.25,186.59
1747,619.52,439.65,2,2.29,475.51,403.78,3228.48,335.80,432.10,399.72,6.47,57.16,30.98,5.39,150.38
1748,786.51,534.64,2,2.34,549.29,519.99,5990.60,405.04,476.81,465.04,6.56,59.02,26.88,7.53,192.28
1749,828.05,590.02,2,2.42,491.98,688.05,10198.24,378.22,660.67,435.96,6.65,61.90,24.65,6.80,258.37
1750,777.57,559.48,2,2.52,492.52,626.44,8138.83,345.72,168.13,441.61,7.16,65.24,20.18,7.42,249.84
1751,919.72,637.49,2,2.23,543.62,731.36,13616.87,347.11,511.21,458.85,7.28,69.47,17.71,5.55,263.75
1752,581.41,440.64,2,2.23,443.29,438.00,3157.83,388.51,317.70,534.03,7.62,69.07,16.79,6.52,145.23
1753,699.78,505.07,2,2.45,506.79,503.35,5225.88,414.03,394.87,504.44,6.52,68.07,20.71,4.69,205.39
1754,673.48,519.72,2,2.35,517.10,522.34,5818.37,384.32,1026.64,513.92,6.41,59.12,30.53,3.94,197.04
1755,653.57,446.85,2,2.41,406.46,487.23,3837.80,343.00,1277.19,400.63,7.19,51.74,35.45,5.63,141.33
1756,649.03,481.79,2,2.36,458.90,504.68,4518.75,401.54,204.99,465.90,6.24,59.39,29.45,4.92,175.54
1757,840.24,509.66,2,2.35,445.31,574.01,7098.61,392.30,235.10,417.29,6.81,64.24,23.16,5.78,186.77
1758,695.04,526.96,2,2.49,537.38,516.54,5912.21,393.36,507.14,515.10,7.19,56.19,31.14,5.48,215.93
1759,769.83,537.53,2,2.39,471.13,603.94,7913.69,386.12,284.67,494.17,7.05,56.26,30.48,6.21,227.81
1760,607.07,441.72,2,2.21,461.84,421.59,3090.78,383.80,236.74,429.80,8.88,52.66,31.81,6.65,151.87
1761,560.81,405.80,2,2.24,406.62,404.99,2363.87,399.13,377.37,424.65,8.52,55.63,25.45,10.40,145.03
1762,801.64,509.46,2,2.27,430.76,588.16,5840.48,343.51,161.65,404.76,8.08,56.13,28.24,7.55,225.10
1763,629.78,443.48,2,2.50,439.76,447.20,3244.63,332.35,207.79,466.61,9.48,53.65,30.35,6.52,151.93
1764,607.19,459.87,2,2.15,463.07,456.67,3472.12,315.75,210.99,385.24,8.88,55.60,26.71,8.81,178.58
1765,758.81,500.89,2,2.27,490.24,511.53,5274.61,325.71,564.09,393.50,8.51,56.30,30.27,4.92,196.20
1766,879.07,552.61,2,2.23,651.72,453.50,8194.03,358.81,159.28,420.87,7.88,52.75,34.14,5.23,225.83
1767,717.57,529.54,2,2.36,508.72,550.36,6280.68,332.98,901.42,437.69,7.06,53.11,35.77,4.05,214.63
1768,894.57,504.35,2,2.22,491.64,517.05,6278.77,335.18,175.11,422.19,6.78,59.46,27.89,5.87,174.45
1769,811.62,498.37,2,2.17,420.59,576.16,5750.29,381.32,217.89,507.24,6.77,57.14,30.46,5.64,181.42
1770,741.42,455.12,2,2.26,498.28,411.96,3612.52,410.08,294.64,504.68,6.41,55.42,32.66,5.52,147.10
1771,771.51,493.47,2,2.19,515.10,471.84,4873.99,399.64,1336.24,514.56,6.98,55.75,30.21,7.06,184.14
1772,649.88,470.79,2,2.24,447.88,493.71,4057.73,455.23,611.02,380.69,6.24,56.81,32.72,4.23,162.28
1773,831.12,501.07,2,2.28,438.37,563.78,6106.21,382.87,147.83,465.09,6.60,56.90,29.85,6.66,186.11
1774,655.36,501.06,2,2.22,508.50,493.62,4817.32,385.42,544.16,369.15,6.50,59.90,26.21,7.39,162.57
1775,682.15,493.90,2,2.28,434.81,552.99,5335.41,338.24,329.58,422.13,6.40,62.61,26.76,4.23,175.18
1776,691.13,457.01,2,2.28,512.68,401.34,3851.49,380.95,209.70,471.58,5.63,65.31,23.38,5.68,151.49
1777,935.64,480.05,2,2.32,547.08,413.02,5904.07,380.27,224.10,429.94,5.80,62.82,26.03,5.35,135.37
1778,658.78,460.29,2,2.21,429.01,491.56,3878.46,333.27,949.56,415.63,5.99,61.45,29.23,3.33,122.85
1779,603.53,417.30,2,2.24,436.81,397.78,2425.24,325.04,1285.99,410.98,6.02,62.57,23.30,8.10,119.14
